,backtestReturns
0,0.000653093
1,0.000401255
2,-0.000307977
3,0.001870364
4,-0.003819495
5,0.000473548
6,-0.000877865
7,0.000674328
8,0.002695524
9,-0.000186034
10,0.004694599
11,-0.000889666
12,8.70241e-06
13,-0.00096468
14,0.000286101
15,0.000989143
16,0.000541377
17,-0.000305815
18,0.000955089
19,-0.004897132
20,0.002145196
21,-0.001098283
22,-0.001106515
23,0.00143525
24,-0.001258512
25,0.00132274
26,0.001550594
27,-7.8228e-05
28,0.001213173
29,-0.003979205
30,0.000857082
31,-0.002259907
32,0.000197503
33,0.001680174
34,0.000580972
35,-0.001407487
36,0.000834261
37,0.000713572
38,0.00042373
39,0.000129707
40,-0.000131871
41,-0.000328601
42,0.001742659
43,0.002380226
44,-0.000788244
45,0.001503643
46,-0.000331682
47,0.000520035
48,-9.6296e-05
49,0.008369688
50,-0.000118796
51,-0.000333093
52,-0.001543646
53,0.002017466
54,0.001004456
55,-0.001771325
56,0.000713028
57,-0.000106273
58,-0.004034147
59,-0.000923245
60,-0.000444335
61,0.000386848
62,-0.000235012
63,4.48579e-05
64,-0.00016656
65,0.000329174
66,-0.003342409
67,-0.004512046
68,-0.001160005
69,0.001550634
70,-0.000401341
71,0.000156857
72,0.000565113
73,0.002075071
74,6.83952e-05
75,0.000433795
76,-0.000401755
77,-0.000887838
78,6.39456e-05
79,-0.002340917
80,0.000397664
81,0.003444052
82,0.003091226
83,0.000401473
84,-0.000816645
85,-0.003978107
86,-0.001218304
87,0.000810407
88,0.00095523
89,-0.000775435
90,0.00023423
91,0.001359794
92,0.003057458
93,-0.000648911
94,0.000436086
95,0.000138148
96,0.00056133
97,-0.0005308
98,0.000919725
99,-0.002991744
100,0.00179871
101,-0.000695359
102,0.004935561
103,-0.00207145
104,-0.00284722
105,-0.007389163
106,0.002588902
107,-0.001240033
108,0.001816245
109,-0.000123636
110,0.001201731
111,-0.014942072
112,-0.003673582
113,0.004730396
114,-0.000182789
115,0.010795234
116,0.000230685
117,0.001981695
118,0.001439516
119,0.000304241
120,-0.009267004
121,-0.006686892
122,-0.002008295
123,0.001850395
124,0.006585065
125,0.001557484
126,-0.000797575
127,-0.010658612
128,0.001257737
129,-0.00201333
130,0.011031972
131,-0.000732978
132,-0.001423089
133,0.001645493
134,-0.005561496
135,-0.000442136
136,-0.003186705
137,-0.001471149
138,-0.002003862
139,0.002610763
140,0.004016671
141,0.000758244
142,-0.001817597
143,-2.17785e-06
144,0.005592402
145,0.000768021
146,0.000661359
147,-0.00010239
148,0.000448227
149,0.00163562
150,-0.001047261
151,0.000647291
152,0.000959394
153,0.000232277
154,-0.00266568
155,0.000818056
156,-0.001088274
157,0.000664077
158,-0.001365934
159,0.004678353
160,0.001108115
161,0.002162229
162,-0.000542894
163,0.001217169
164,-5.98068e-05
165,-0.000386582
166,0.000471771
167,0.004146264
168,-0.002737334
169,-0.005224199
170,-0.001342913
171,5.41721e-05
172,0.003507836
173,0.000738003
174,-0.001992753
175,-9.52049e-05
176,-0.000508307
177,-0.001542613
178,0.005864101
179,0.004161363
180,-0.003363336
181,-0.00299433
182,-0.001913074
183,-0.002835648
184,-0.004254662
185,0.00954301
186,0.001818826
187,0.000706993
188,-4.30817e-05
189,-0.005205541
190,-0.000296624
191,0.002630558
192,-0.001493351
193,0.001906452
194,0.010120626
195,-0.001584169
196,0.002246208
197,0.00206412
198,0.000165833
199,0.000292906
200,0.005890832
201,0.004078779
202,0.000704777
203,-0.001462194
204,0.000393195
205,0.008553205
206,-0.00027059
207,-6.97503e-05
208,0.000133113
209,0.000175347
210,-0.000230036
211,0.003105093
212,0.000766097
213,0.001556324
214,0.002874218
215,-0.001764935
216,0.000210444
217,0.001419947
218,-0.000428278
219,-0.001416661
220,-0.000643584
221,0.002764139
222,0.000695725
223,0.000455732
224,0.00012086
225,0.000808599
226,-0.000637274
227,-0.001064601
228,-0.0038124
229,0.000807059
230,-0.00044398
231,0.00173101
232,-6.9065e-05
233,0.000253239
234,0.001367955
235,0.000563791
236,0.000460538
237,-0.00108245
238,-0.000580095
239,-0.000770408
240,-0.003842355
241,-0.001042442
242,0.002148306
243,-0.001671289
244,0.000148318
245,-0.000530035
246,-0.00035074
247,-5.44163e-05
248,-0.010847686
249,-0.005464284
250,0.001369659
251,0.000191231
252,-0.002017282
253,-0.002102581
254,0.003663301
255,3.20138e-05
256,-0.000895507
257,-0.014369527
258,-0.001635674
259,0.005302951
260,-0.001655187
