,index,Date,Open,High,Low,Close,Volume
0,1440884,2021-10-21 11:49:00,4531.71,4532.31,4531.62,4532.28,0
1,1440885,2021-10-21 11:50:00,4532.29,4533.13,4532.29,4533.13,0
2,1440886,2021-10-21 11:51:00,4533.14,4533.14,4532.36,4532.38,0
3,1440887,2021-10-21 11:52:00,4532.37,4532.55,4532.24,4532.24,0
4,1440888,2021-10-21 11:53:00,4532.25,4532.25,4531.4,4531.42,0
5,1440889,2021-10-21 11:54:00,4531.45,4531.83,4531.39,4531.76,0
6,1440890,2021-10-21 11:55:00,4531.77,4532.26,4531.77,4532.19,0
7,1440891,2021-10-21 11:56:00,4532.18,4532.86,4532.17,4532.86,0
8,1440892,2021-10-21 11:57:00,4532.83,4533.15,4532.83,4533.13,0
9,1440893,2021-10-21 11:58:00,4533.12,4533.19,4532.79,4533.14,0
10,1440894,2021-10-21 11:59:00,4533.18,4533.34,4532.95,4532.97,0
11,1440895,2021-10-21 12:00:00,4532.9,4534.13,4532.87,4534.06,0
12,1440896,2021-10-21 12:01:00,4534.09,4534.64,4534.0,4534.62,0
13,1440897,2021-10-21 12:02:00,4534.63,4535.2,4534.58,4535.2,0
14,1440898,2021-10-21 12:03:00,4535.14,4535.14,4534.44,4534.54,0
15,1440899,2021-10-21 12:04:00,4534.51,4534.79,4534.34,4534.34,0
16,1440900,2021-10-21 12:05:00,4534.33,4534.73,4531.35,4531.35,0
17,1440901,2021-10-21 12:06:00,4531.41,4533.29,4531.27,4533.26,0
18,1440902,2021-10-21 12:07:00,4533.24,4533.89,4533.24,4533.61,0
19,1440903,2021-10-21 12:08:00,4533.57,4533.57,4532.02,4532.16,0
20,1440904,2021-10-21 12:09:00,4532.23,4532.49,4531.74,4532.25,0
21,1440905,2021-10-21 12:10:00,4532.23,4532.73,4531.78,4531.89,0
22,1440906,2021-10-21 12:11:00,4531.87,4532.93,4531.87,4532.92,0
23,1440907,2021-10-21 12:12:00,4532.8,4533.4,4532.64,4533.29,0
24,1440908,2021-10-21 12:13:00,4533.24,4533.82,4533.23,4533.82,0
25,1440909,2021-10-21 12:14:00,4533.78,4534.84,4533.78,4534.83,0
26,1440910,2021-10-21 12:15:00,4534.82,4535.07,4534.79,4535.07,0
27,1440911,2021-10-21 12:16:00,4535.07,4535.09,4534.48,4534.48,0
28,1440912,2021-10-21 12:17:00,4534.45,4534.61,4533.79,4533.79,0
29,1440913,2021-10-21 12:18:00,4533.75,4534.35,4533.67,4534.15,0
30,1440914,2021-10-21 12:19:00,4534.17,4534.84,4533.98,4534.61,0
31,1440915,2021-10-21 12:20:00,4534.61,4534.72,4534.36,4534.65,0
32,1440916,2021-10-21 12:21:00,4534.68,4535.54,4534.43,4535.54,0
33,1440917,2021-10-21 12:22:00,4535.61,4536.03,4535.52,4535.61,0
34,1440918,2021-10-21 12:23:00,4535.61,4536.12,4535.6,4536.12,0
35,1440919,2021-10-21 12:24:00,4536.14,4536.24,4535.45,4535.49,0
36,1440920,2021-10-21 12:25:00,4535.52,4535.6,4534.96,4535.22,0
